,词语,次数
1140,对视,739
1141,马,738
1142,懵,738
1143,演技,738
1144,盖,736
1145,好好笑,733
1146,一个月,733
1147,解释,732
1148,换,732
1149,野味,732
1150,男孩,731
1151,夸张,731
1152,JYP,729
1153,化,728
1154,祝,728
1155,驻马店,727
1156,患者,727
1157,颜色,725
1158,遍,724
1159,新鲜,724
1160,可辣,723
1161,混,723
1162,呦,723
1163,机,723
1164,瞩目,722
1165,这时候,722
1166,算是,722
1167,之省,721
1168,羞耻,721
1169,白菜,719
1170,百地,718
1171,口味,718
1172,骨头,717
1173,青山,717
1174,同桌,717
1175,老子,716
1176,伤害,716
1177,似火,715
1178,版双,714
1179,情况,713
1180,神奇,712
1181,河北,712
1182,藕粉,711
1183,国外,711
1184,宝,710
1185,贝,710
1186,祖传,710
1187,登场,709
1188,你好,707
1189,财,706
1190,人才,705
1191,两年,702
1192,凑,701
1193,长桌,701
1194,面面,700
1195,次子,698
1196,一只,697
1197,一部,696
1198,一波,696
1199,木耳,696
1200,煸,694
1201,差,693
1202,不说,693
1203,贵阳,692
1204,包包,691
1205,忘,689
1206,讲究,689
1207,woc,689
1208,固体酒精,687
1209,特效,684
1210,快快,684
1211,豆腐,684
1212,山东人,683
1213,配图,683
1214,粉绝,682
1215,杜兰特,681
1216,拆,681
1217,真重,681
1218,江苏,680
1219,那人,678
1220,那味,678
1221,熟,676
1222,慌,674
1223,围着,674
1224,舅舅,672
1225,表白,671
1226,妹子,670
1227,可怜,670
1228,姑娘,669
1229,糖蒜,669
1230,舅舅家,669
1231,饭店,668
1232,座,668
1233,卡姆,667
1234,考上,666
1235,扒,666
1236,哥们儿,665
1237,手动,664
1238,控制,664
1239,凉,664
1240,事儿,664
1241,现实,663
1242,赢家,663
1243,看盗,663
1244,唱,662
1245,去一趟,662
1246,摸摸,661
1247,统一,661
1248,即视感,661
1249,月经,660
1250,真能,659
1251,孔连顺,659
1252,看猴,659
1253,辽宁,658
1254,山河,658
1255,无恙,658
1256,弃肉,658
1257,一串,656
1258,蛋蛋,656
1259,煲,656
1260,烟来,656
1261,女人,655
1262,嘿嘿嘿,655
1263,手套,654
1264,鳕鱼,653
1265,街边,652
1266,身为,652
1267,幺,652
1268,问到,651
1269,汤汁,651
1270,暴露,649
1271,阳光,647
1272,没错,647
1273,越描越黑,647
1274,超多,646
1275,初中,646
1276,柳州,645
1277,迟,645
1278,光膀子,642
1279,空调,642
1280,小伙伴,642
1281,摄像头,642
1282,牛皮,641
1283,记忆力,640
1284,听懂,640
1285,md,640
1286,老街,640
1287,停顿,639
1288,泪水,639
1289,接吻,638
1290,标准,638
1291,这好,637
1292,两桌,637
1293,YYDS,637
1294,危,636
1295,脸上,635
1296,伤口,635
1297,食欲,635
1298,草,634
1299,重温,634
1300,产品,634
1301,关,633
1302,爱情,633
1303,哈哈笑,632
1304,心动,632
1305,彩云,631
1306,国,631
1307,物语,631
1308,不辣,630
1309,收下,630
1310,膝盖,630
1311,明天,629
1312,伏特加,629
1313,城管,627
1314,坐在,626
1315,火锅,626
1316,永不,626
1317,低,626
1318,小宝贝,626
1319,++,625
1320,工作,624
1321,多人,623
1322,运动,623
1323,锤,623
1324,一群,622
1325,好想哭,622
1326,笑容,621
1327,罍,621
